,year,Offence count,Income
0,2012.0,71974.0,714914.0
1,2013.0,67709.0,731206.0
2,2014.0,64152.0,755176.55
3,2015.0,66091.0,777805.86
4,2016.0,65501.0,812509.75
5,2017.0,61657.0,841948.72
